Key	Surface	Type	Identity	Classification	OwnerIncrement	HelpDestination	Status
xaml.ai-assistant.button.applycollectionstatus-click	AI Assistant	Button	ApplyCollectionStatus_Click	action	v50.4.3	ai.controls-fields	covered
xaml.ai-assistant.button.bindexactaicoverageidentity	AI Assistant	Button	BindExactAiCoverageIdentity	action	v50.4.3	ai.controls-fields	covered
xaml.ai-assistant.button.cancelopenairequest	AI Assistant	Button	CancelOpenAiRequest	action	v52.2	ai.controls-fields	covered
xaml.ai-assistant.button.clearcollectioncoverage-click	AI Assistant	Button	ClearCollectionCoverage_Click	action	v50.4.3	ai.controls-fields	covered
xaml.ai-assistant.button.copyopenaioperationalevidence	AI Assistant	Button	CopyOpenAiOperationalEvidence	action	v52.3.2	ai.controls-fields	covered
xaml.ai-assistant.button.deleteaimaterialcollection-click	AI Assistant	Button	DeleteAiMaterialCollection_Click	action	v50.4.3	ai.controls-fields	covered
xaml.ai-assistant.button.deleteaisession-click	AI Assistant	Button	DeleteAiSession_Click	action	v50.4.3	ai.controls-fields	covered
xaml.ai-assistant.button.generateaicomparisons-click	AI Assistant	Button	GenerateAiComparisons_Click	action	v50.4.3	ai.controls-fields	covered
xaml.ai-assistant.button.generateaifromtemplate-click	AI Assistant	Button	GenerateAiFromTemplate_Click	action	v50.4.3	ai.controls-fields	covered
xaml.ai-assistant.button.generateaifullbrief	AI Assistant	Button	GenerateAiFullBrief	action	v50.4.3	ai.controls-fields	covered
xaml.ai-assistant.button.generateaihiddengems-click	AI Assistant	Button	GenerateAiHiddenGems_Click	action	v50.4.3	ai.controls-fields	covered
xaml.ai-assistant.button.generateaiideas-click	AI Assistant	Button	GenerateAiIdeas_Click	action	v50.4.3	ai.controls-fields	covered
xaml.ai-assistant.button.generateairecommendedcomparisons-click	AI Assistant	Button	GenerateAiRecommendedComparisons_Click	action	v50.4.3	ai.controls-fields	covered
xaml.ai-assistant.button.generateairecommendednextvideo-click	AI Assistant	Button	GenerateAiRecommendedNextVideo_Click	action	v50.4.3	ai.controls-fields	covered
xaml.ai-assistant.button.generatecollectiondashboard-click	AI Assistant	Button	GenerateCollectionDashboard_Click	action	v50.4.3	ai.controls-fields	covered
